"01";"601";"438";"106";"6";"2";"п Дубровский";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"438";"111";"0";"2";"п Кондратьевский";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"438";"116";"5";"2";"п Краснодубровский";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"438";"121";"1";"2";"п Новоникольский";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"440";"000";"0";"1";"Краснопартизанский сельсовет";"п Бориха";;"000";"0";14.06.2013;01.01.2014
"01";"601";"440";"000";"0";"2";"Населенные пункты, входящие в состав сельского поселения Краснопартизанский сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"440";"101";"3";"2";"п Бориха";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"460";"000";"3";"1";"Малиновский сельсовет";"с Малиновка";;"000";"0";14.06.2013;01.01.2014
"01";"601";"460";"000";"3";"2";"Населенные пункты, входящие в состав сельского поселения Малиновский сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"460";"101";"2";"2";"с Малиновка";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"464";"000";"2";"1";"Моховской сельсовет";"с Моховское";;"000";"0";14.06.2013;01.01.2014
"01";"601";"464";"000";"2";"2";"Населенные пункты, входящие в состав сельского поселения Моховской сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"464";"101";"1";"2";"с Моховское";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"464";"106";"6";"2";"п Чернышевский";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"468";"000";"1";"1";"Осколковский сельсовет";"с Осколково";;"000";"0";14.06.2013;01.01.2014
"01";"601";"468";"000";"1";"2";"Населенные пункты, входящие в состав сельского поселения Осколковский сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"468";"101";"0";"2";"с Осколково";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"473";"000";"1";"1";"Плотавский сельсовет";"с Плотава";;"000";"0";14.06.2013;01.01.2014
"01";"601";"473";"000";"1";"2";"Населенные пункты, входящие в состав сельского поселения Плотавский сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"473";"101";"0";"2";"с Плотава";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"475";"000";"6";"1";"Савинский сельсовет";"с Савинка";;"000";"0";14.06.2013;01.01.2014
"01";"601";"475";"000";"6";"2";"Населенные пункты, входящие в состав сельского поселения Савинский сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"475";"101";"5";"2";"с Савинка";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"477";"000";"0";"1";"Совхозный сельсовет";"п Совхозный";;"000";"0";14.06.2013;01.01.2014
"01";"601";"477";"000";"0";"2";"Населенные пункты, входящие в состав сельского поселения Совхозный сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"477";"101";"1";"2";"п Совхозный";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"477";"106";"4";"2";"п Александровский";;;"071";"3";12.12.2014;01.01.2015
"01";"601";"477";"111";"9";"2";"с Ветёлки";;;"071";"3";12.12.2014;01.01.2015
"01";"601";"485";"000";"2";"1";"Урюпинский сельсовет";"с Урюпино";;"000";"0";14.06.2013;01.01.2014
"01";"601";"485";"000";"2";"2";"Населенные пункты, входящие в состав сельского поселения Урюпинский сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"485";"101";"1";"2";"с Урюпино";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"485";"106";"6";"2";"ст Железнодорожная Казарма 363 км";;;"071";"2";12.12.2014;01.01.2015
"01";"601";"496";"000";"6";"1";"Фрунзенский сельсовет";"с Вавилон";;"000";"0";14.06.2013;01.01.2014
"01";"601";"496";"000";"6";"2";"Населенные пункты, входящие в состав сельского поселения Фрунзенский сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"496";"101";"5";"2";"с Вавилон";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"496";"106";"2";"2";"п Зелёная Поляна";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"498";"000";"0";"1";"Чапаевский сельсовет";"с Красный Яр";;"000";"0";14.06.2013;01.01.2014
"01";"601";"498";"000";"0";"2";"Населенные пункты, входящие в состав сельского поселения Чапаевский сельсовет Алейского муниципального района";;;"000";"0";14.06.2013;01.01.2014
"01";"601";"498";"101";"7";"2";"с Красный Яр";;;"000";"0";14.06.2013;01.01.2014
"01";"602";"000";"000";"8";"1";"Алтайский муниципальный район";"с Алтайское";;"000";"0";14.06.2013;01.01.2014
"01";"602";"400";"000";"3";"1";"Сельские поселения Алтайского муниципального района/";;;"000";"0";14.06.2013;01.01.2014
"01";"602";"405";"000";"6";"1";"Айский сельсовет";"с Ая";;"000";"0";14.06.2013;01.01.2014
